match_id,game_duration,game_mode,t100_kills,t100_deaths,t100_assists,t100_gold,t100_damage,t100_cs,t100_vision,t100_wardsPlaced,t100_wardsKilled,t100_controlWards,t100_towers,t100_dragons,t100_herald,t100_barons,t100_phdmg,t100_mgdmg,t100_trdmg,t100_goldpermin,t100_inhibitors,t200_kills,t200_deaths,t200_assists,t200_gold,t200_damage,t200_cs,t200_vision,t200_wardsPlaced,t200_wardsKilled,t200_controlWards,t200_towers,t200_dragons,t200_barons,t200_herald,t200_phdmg,t200_mgdmg,t200_trdmg,t200_goldpermin,t200_inhibitors,team_100_win
NA1_5480497353,1836,CLASSIC,47,39,68,71255,179221,928,198,75,16,0,9,2,2,1,91300,79991,7927,2328.59477124183,1,39,47,70,67471,152267,812,164,66,15,0,2,1,1,0,56713,89181,6368,2204.9346405228757,0,1
NA1_5480408290,1367,CLASSIC,22,13,40,48039,93680,725,141,57,15,0,3,3,3,1,46398,38928,8349,2108.5149963423555,0,13,22,18,41022,61816,739,153,59,15,0,3,0,0,0,37206,23699,907,1800.5267008046817,0,1
NA1_5482469574,1951,CLASSIC,33,34,38,76712,145562,1063,212,66,25,0,10,3,0,1,72968,47984,24606,2359.1594054331113,2,34,33,52,74165,113636,1098,236,94,26,0,7,1,1,2,42686,55799,15148,2280.830343413634,1,1
NA1_5482456560,1836,CLASSIC,43,25,69,68369,121024,935,220,88,28,0,10,3,2,0,50684,62533,7801,2234.281045751634,1,25,44,32,64974,120543,962,205,91,27,0,6,1,1,0,67131,52458,951,2123.333333333333,0,1
NA1_5482444125,1516,CLASSIC,14,32,9,46428,62502,822,130,55,14,0,2,1,0,0,42039,18563,1895,1837.519788918206,0,32,15,42,58826,94888,862,186,54,29,0,10,2,1,1,39409,50162,5314,2328.2058047493406,2,0
NA1_5482344153,1625,CLASSIC,18,22,20,52339,93946,884,222,89,24,0,5,0,2,0,33272,58882,1786,1932.5169230769231,1,22,18,40,58609,100817,916,170,69,21,0,8,4,1,0,40303,55081,5430,2164.0246153846156,1,0
NA1_5482307930,1758,CLASSIC,23,29,36,56782,86406,873,210,73,30,0,3,0,0,0,36123,44819,5460,1937.952218430034,0,29,23,54,64149,96383,995,206,81,25,0,7,4,1,2,44691,48959,2727,2189.38566552901,1,0
NA1_5481659628,1221,CLASSIC,9,24,9,37384,45063,698,125,42,14,0,2,1,2,0,24346,16321,4391,1837.051597051597,0,24,9,35,43114,61147,687,118,46,13,0,2,2,0,0,37109,20654,3380,2118.6240786240783,0,0
NA1_5481653337,1111,CLASSIC,31,10,33,44291,65013,638,90,37,6,0,6,1,0,0,52949,10122,1939,2391.953195319532,0,10,31,10,33052,51448,595,82,34,14,0,0,1,0,0,35854,10743,4849,1784.986498649865,0,1
NA1_5481638210,1514,CLASSIC,36,21,42,60246,125021,802,157,68,15,0,10,2,0,1,50684,67042,7289,2387.556142668428,1,21,36,37,50287,82829,684,157,72,13,0,2,0,0,0,39316,38164,5346,1992.8797886393659,0,1
